Tick 1 0_6 attacks 1_9 with 49100, killing 3 units
0_3 attacks 1_0 with 66860, killing 1 units
0_9 attacks 1_8 with 17440, killing 1 units
1_3 attacks 0_0 with 65366, killing 6 units
1_9 attacks 0_1 with 25545, killing 3 units
0_2 attacks 1_6 with 41040, killing 0 units
1_7 attacks 0_6 with 46138, killing 7 units
0_0 attacks 1_1 with 68607, killing 1 units
1_0 attacks 0_3 with 176784, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1460_6 attacks 1_5 with 78040, killing 1 units
1_8 attacks 0_8 with 20644, killing 1 units
1_1 attacks 0_2 with 182864, killing 20 units
0_4 attacks 1_3 with 137644, killing 3 units
0_8 attacks 1_9 with 32800, killing 2 units
0_1 attacks 1_7 with 104416, killing 3 units
1_5 attacks 0_9 with 159600, killing 22 units
0_3 attacks 1_0 with 66680, killing 1 units
0_9 attacks 1_8 with 17088, killing 1 units
1_3 attacks 0_0 with 65219, killing 6 units
1_9 attacks 0_1 with 25515, killing 3 units
0_2 attacks 1_6 with 40880, killing 0 units
1_7 attacks 0_6 with 46036, killing 7 units
0_0 attacks 1_1 with 68409, killing 1 units
1_0 attacks 0_3 with 176726, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1470_6 attacks 1_5 with 77760, killing 1 units
1_8 attacks 0_8 with 20640, killing 1 units
1_1 attacks 0_2 with 182820, killing 20 units
0_4 attacks 1_3 with 137228, killing 3 units
0_8 attacks 1_9 with 32472, killing 2 units
0_1 attacks 1_7 with 104368, killing 3 units
1_5 attacks 0_9 with 159540, killing 22 units
0_3 attacks 1_0 with 66500, killing 1 units
0_9 attacks 1_8 with 16736, killing 1 units
1_3 attacks 0_0 with 65072, killing 6 units
1_9 attacks 0_1 with 25485, killing 3 units
0_2 attacks 1_6 with 40720, killing 0 units
1_7 attacks 0_6 with 45934, killing 7 units
0_0 attacks 1_1 with 68211, killing 1 units
1_0 attacks 0_3 with 176668, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1480_6 attacks 1_5 with 77480, killing 1 units
1_8 attacks 0_8 with 20636, killing 1 units
1_1 attacks 0_2 with 182776, killing 20 units
0_4 attacks 1_3 with 136812, killing 3 units
0_8 attacks 1_9 with 32144, killing 2 units
0_1 attacks 1_7 with 104320, killing 3 units
1_5 attacks 0_9 with 159480, killing 22 units
0_3 attacks 1_0 with 66320, killing 1 units
0_9 attacks 1_8 with 16384, killing 1 units
1_3 attacks 0_0 with 64925, killing 6 units
1_9 attacks 0_1 with 25455, killing 3 units
0_2 attacks 1_6 with 40560, killing 0 units
1_7 attacks 0_6 with 45832, killing 7 units
0_0 attacks 1_1 with 68013, killing 1 units
1_0 attacks 0_3 with 176610, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1490_6 attacks 1_5 with 77200, killing 1 units
1_8 attacks 0_8 with 20632, killing 1 units
1_1 attacks 0_2 with 182732, killing 20 units
0_4 attacks 1_3 with 136396, killing 3 units
0_8 attacks 1_9 with 31816, killing 2 units
0_1 attacks 1_7 with 104272, killing 3 units
1_5 attacks 0_9 with 159420, killing 22 units
0_3 attacks 1_0 with 66140, killing 1 units
0_9 attacks 1_8 with 16032, killing 1 units
1_3 attacks 0_0 with 64778, killing 6 units
1_9 attacks 0_1 with 25425, killing 3 units
0_2 attacks 1_6 with 40400, killing 0 units
1_7 attacks 0_6 with 45730, killing 7 units
0_0 attacks 1_1 with 67815, killing 1 units
1_0 attacks 0_3 with 176552, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1500_6 attacks 1_5 with 76920, killing 1 units
1_8 attacks 0_8 with 20628, killing 1 units
1_1 attacks 0_2 with 182688, killing 20 units
0_4 attacks 1_3 with 135980, killing 3 units
0_8 attacks 1_9 with 31488, killing 2 units
0_1 attacks 1_7 with 104224, killing 3 units
1_5 attacks 0_9 with 159360, killing 22 units
0_3 attacks 1_0 with 65960, killing 1 units
0_9 attacks 1_8 with 15680, killing 1 units
1_3 attacks 0_0 with 64631, killing 6 units
1_9 attacks 0_1 with 25395, killing 3 units
0_2 attacks 1_6 with 40240, killing 0 units
1_7 attacks 0_6 with 45628, killing 7 units
0_0 attacks 1_1 with 67617, killing 1 units
1_0 attacks 0_3 with 176494, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1510_6 attacks 1_5 with 76640, killing 1 units
1_8 attacks 0_8 with 20624, killing 1 units
1_1 attacks 0_2 with 182644, killing 20 units
0_4 attacks 1_3 with 135564, killing 3 units
0_8 attacks 1_9 with 31160, killing 2 units
0_1 attacks 1_7 with 104176, killing 3 units
1_5 attacks 0_9 with 159300, killing 22 units
0_3 attacks 1_0 with 65780, killing 1 units
0_9 attacks 1_8 with 15328, killing 1 units
1_3 attacks 0_0 with 64484, killing 6 units
1_9 attacks 0_1 with 25365, killing 3 units
0_2 attacks 1_6 with 40080, killing 0 units
1_7 attacks 0_6 with 45526, killing 7 units
0_0 attacks 1_1 with 67419, killing 1 units
1_0 attacks 0_3 with 176436, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1520_6 attacks 1_5 with 76360, killing 1 units
1_8 attacks 0_8 with 20620, killing 1 units
1_1 attacks 0_2 with 182600, killing 20 units
0_4 attacks 1_3 with 135148, killing 3 units
0_8 attacks 1_9 with 30832, killing 2 units
0_1 attacks 1_7 with 104128, killing 3 units
1_5 attacks 0_9 with 159240, killing 22 units
0_3 attacks 1_0 with 65600, killing 1 units
0_9 attacks 1_8 with 14976, killing 1 units
1_3 attacks 0_0 with 64337, killing 6 units
1_9 attacks 0_1 with 25335, killing 3 units
0_2 attacks 1_6 with 39920, killing 0 units
1_7 attacks 0_6 with 45424, killing 7 units
0_0 attacks 1_1 with 67221, killing 1 units
1_0 attacks 0_3 with 176378, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1530_6 attacks 1_5 with 76080, killing 1 units
1_8 attacks 0_8 with 20616, killing 1 units
1_1 attacks 0_2 with 182556, killing 20 units
0_4 attacks 1_3 with 134732, killing 2 units
0_8 attacks 1_9 with 30504, killing 1 units
0_1 attacks 1_7 with 104080, killing 3 units
1_5 attacks 0_9 with 159180, killing 22 units
0_3 attacks 1_0 with 65420, killing 1 units
0_9 attacks 1_8 with 14624, killing 1 units
1_3 attacks 0_0 with 64239, killing 6 units
1_9 attacks 0_1 with 25320, killing 3 units
0_2 attacks 1_6 with 39760, killing 0 units
1_7 attacks 0_6 with 45322, killing 7 units
0_0 attacks 1_1 with 67023, killing 1 units
1_0 attacks 0_3 with 176320, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1540_6 attacks 1_5 with 75800, killing 1 units
1_8 attacks 0_8 with 20612, killing 1 units
1_1 attacks 0_2 with 182512, killing 20 units
0_4 attacks 1_3 with 134316, killing 2 units
0_8 attacks 1_9 with 30176, killing 1 units
0_1 attacks 1_7 with 104032, killing 3 units
1_5 attacks 0_9 with 159120, killing 22 units
0_3 attacks 1_0 with 65240, killing 1 units
0_9 attacks 1_8 with 14272, killing 1 units
1_3 attacks 0_0 with 64141, killing 6 units
1_9 attacks 0_1 with 25305, killing 3 units
0_2 attacks 1_6 with 39600, killing 0 units
1_7 attacks 0_6 with 45220, killing 7 units
0_0 attacks 1_1 with 66825, killing 1 units
1_0 attacks 0_3 with 176262, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1550_6 attacks 1_5 with 75520, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182468, killing 20 units
0_4 attacks 1_3 with 133900, killing 2 units
0_8 attacks 1_9 with 29848, killing 1 units
0_1 attacks 1_7 with 103984, killing 3 units
1_5 attacks 0_9 with 159060, killing 22 units
0_3 attacks 1_0 with 65060, killing 1 units
0_9 attacks 1_8 with 13920, killing 0 units
1_3 attacks 0_0 with 64043, killing 6 units
1_9 attacks 0_1 with 25290, killing 3 units
0_2 attacks 1_6 with 39440, killing 0 units
1_7 attacks 0_6 with 45118, killing 7 units
0_0 attacks 1_1 with 66627, killing 1 units
1_0 attacks 0_3 with 176204, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1560_6 attacks 1_5 with 75240, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182424, killing 20 units
0_4 attacks 1_3 with 133484, killing 2 units
0_8 attacks 1_9 with 29520, killing 1 units
0_1 attacks 1_7 with 103936, killing 3 units
1_5 attacks 0_9 with 159000, killing 22 units
0_3 attacks 1_0 with 64880, killing 1 units
0_9 attacks 1_8 with 13568, killing 0 units
1_3 attacks 0_0 with 63945, killing 6 units
1_9 attacks 0_1 with 25275, killing 3 units
0_2 attacks 1_6 with 39280, killing 0 units
1_7 attacks 0_6 with 45016, killing 7 units
0_0 attacks 1_1 with 66429, killing 1 units
1_0 attacks 0_3 with 176146, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1570_6 attacks 1_5 with 74960, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182380, killing 20 units
0_4 attacks 1_3 with 133068, killing 2 units
0_8 attacks 1_9 with 29192, killing 1 units
0_1 attacks 1_7 with 103888, killing 3 units
1_5 attacks 0_9 with 158940, killing 22 units
0_3 attacks 1_0 with 64700, killing 1 units
0_9 attacks 1_8 with 13216, killing 0 units
1_3 attacks 0_0 with 63847, killing 6 units
1_9 attacks 0_1 with 25260, killing 3 units
0_2 attacks 1_6 with 39120, killing 0 units
1_7 attacks 0_6 with 44914, killing 7 units
0_0 attacks 1_1 with 66231, killing 1 units
1_0 attacks 0_3 with 176088, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1580_6 attacks 1_5 with 74680, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182336, killing 20 units
0_4 attacks 1_3 with 132652, killing 2 units
0_8 attacks 1_9 with 28864, killing 1 units
0_1 attacks 1_7 with 103840, killing 3 units
1_5 attacks 0_9 with 158880, killing 22 units
0_3 attacks 1_0 with 64520, killing 1 units
0_9 attacks 1_8 with 12864, killing 0 units
1_3 attacks 0_0 with 63749, killing 6 units
1_9 attacks 0_1 with 25245, killing 3 units
0_2 attacks 1_6 with 38960, killing 0 units
1_7 attacks 0_6 with 44812, killing 7 units
0_0 attacks 1_1 with 66033, killing 1 units
1_0 attacks 0_3 with 176030, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1590_6 attacks 1_5 with 74400, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182292, killing 20 units
0_4 attacks 1_3 with 132236, killing 2 units
0_8 attacks 1_9 with 28536, killing 1 units
0_1 attacks 1_7 with 103792, killing 3 units
1_5 attacks 0_9 with 158820, killing 22 units
0_3 attacks 1_0 with 64340, killing 1 units
0_9 attacks 1_8 with 12512, killing 0 units
1_3 attacks 0_0 with 63651, killing 6 units
1_9 attacks 0_1 with 25230, killing 3 units
0_2 attacks 1_6 with 38800, killing 0 units
1_7 attacks 0_6 with 44710, killing 7 units
0_0 attacks 1_1 with 65835, killing 1 units
1_0 attacks 0_3 with 175972, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1600_6 attacks 1_5 with 74120, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182248, killing 20 units
0_4 attacks 1_3 with 131820, killing 2 units
0_8 attacks 1_9 with 28208, killing 1 units
0_1 attacks 1_7 with 103744, killing 3 units
1_5 attacks 0_9 with 158760, killing 22 units
0_3 attacks 1_0 with 64160, killing 1 units
0_9 attacks 1_8 with 12160, killing 0 units
1_3 attacks 0_0 with 63553, killing 6 units
1_9 attacks 0_1 with 25215, killing 3 units
0_2 attacks 1_6 with 38640, killing 0 units
1_7 attacks 0_6 with 44608, killing 7 units
0_0 attacks 1_1 with 65637, killing 1 units
1_0 attacks 0_3 with 175914, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1610_6 attacks 1_5 with 73840, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182204, killing 20 units
0_4 attacks 1_3 with 131404, killing 2 units
0_8 attacks 1_9 with 27880, killing 1 units
0_1 attacks 1_7 with 103696, killing 3 units
1_5 attacks 0_9 with 158700, killing 22 units
0_3 attacks 1_0 with 63980, killing 1 units
0_9 attacks 1_8 with 11808, killing 0 units
1_3 attacks 0_0 with 63455, killing 6 units
1_9 attacks 0_1 with 25200, killing 3 units
0_2 attacks 1_6 with 38480, killing 0 units
1_7 attacks 0_6 with 44506, killing 7 units
0_0 attacks 1_1 with 65439, killing 1 units
1_0 attacks 0_3 with 175856, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1620_6 attacks 1_5 with 73560, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182160, killing 20 units
0_4 attacks 1_3 with 130988, killing 2 units
0_8 attacks 1_9 with 27552, killing 1 units
0_1 attacks 1_7 with 103648, killing 3 units
1_5 attacks 0_9 with 158640, killing 22 units
0_3 attacks 1_0 with 63800, killing 1 units
0_9 attacks 1_8 with 11456, killing 0 units
1_3 attacks 0_0 with 63357, killing 6 units
1_9 attacks 0_1 with 25185, killing 3 units
0_2 attacks 1_6 with 38320, killing 0 units
1_7 attacks 0_6 with 44404, killing 7 units
0_0 attacks 1_1 with 65241, killing 1 units
1_0 attacks 0_3 with 175798, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1630_6 attacks 1_5 with 73280, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182116, killing 20 units
0_4 attacks 1_3 with 130572, killing 2 units
0_8 attacks 1_9 with 27224, killing 1 units
0_1 attacks 1_7 with 103600, killing 3 units
1_5 attacks 0_9 with 158580, killing 22 units
0_3 attacks 1_0 with 63620, killing 1 units
0_9 attacks 1_8 with 11104, killing 0 units
1_3 attacks 0_0 with 63259, killing 6 units
1_9 attacks 0_1 with 25170, killing 3 units
0_2 attacks 1_6 with 38160, killing 0 units
1_7 attacks 0_6 with 44302, killing 6 units
0_0 attacks 1_1 with 65043, killing 1 units
1_0 attacks 0_3 with 175740, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1640_6 attacks 1_5 with 73040, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182072, killing 20 units
0_4 attacks 1_3 with 130156, killing 2 units
0_8 attacks 1_9 with 26896, killing 1 units
0_1 attacks 1_7 with 103552, killing 3 units
1_5 attacks 0_9 with 158520, killing 22 units
0_3 attacks 1_0 with 63440, killing 1 units
0_9 attacks 1_8 with 10752, killing 0 units
1_3 attacks 0_0 with 63161, killing 6 units
1_9 attacks 0_1 with 25155, killing 3 units
0_2 attacks 1_6 with 38000, killing 0 units
1_7 attacks 0_6 with 44200, killing 6 units
0_0 attacks 1_1 with 64845, killing 1 units
1_0 attacks 0_3 with 175682, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1650_6 attacks 1_5 with 72800, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 182028, killing 20 units
0_4 attacks 1_3 with 129740, killing 2 units
0_8 attacks 1_9 with 26568, killing 1 units
0_1 attacks 1_7 with 103504, killing 3 units
1_5 attacks 0_9 with 158460, killing 22 units
0_3 attacks 1_0 with 63260, killing 1 units
0_9 attacks 1_8 with 10400, killing 0 units
1_3 attacks 0_0 with 63063, killing 6 units
1_9 attacks 0_1 with 25140, killing 3 units
0_2 attacks 1_6 with 37840, killing 0 units
1_7 attacks 0_6 with 44098, killing 6 units
0_0 attacks 1_1 with 64647, killing 1 units
1_0 attacks 0_3 with 175624, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1660_6 attacks 1_5 with 72560, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181984, killing 20 units
0_4 attacks 1_3 with 129324, killing 2 units
0_8 attacks 1_9 with 26240, killing 1 units
0_1 attacks 1_7 with 103456, killing 3 units
1_5 attacks 0_9 with 158400, killing 22 units
0_3 attacks 1_0 with 63080, killing 1 units
0_9 attacks 1_8 with 10048, killing 0 units
1_3 attacks 0_0 with 62965, killing 6 units
1_9 attacks 0_1 with 25125, killing 3 units
0_2 attacks 1_6 with 37680, killing 0 units
1_7 attacks 0_6 with 43996, killing 6 units
0_0 attacks 1_1 with 64449, killing 1 units
1_0 attacks 0_3 with 175566, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1670_6 attacks 1_5 with 72320, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181940, killing 20 units
0_4 attacks 1_3 with 128908, killing 2 units
0_8 attacks 1_9 with 25912, killing 1 units
0_1 attacks 1_7 with 103408, killing 3 units
1_5 attacks 0_9 with 158340, killing 22 units
0_3 attacks 1_0 with 62900, killing 1 units
0_9 attacks 1_8 with 9696, killing 0 units
1_3 attacks 0_0 with 62867, killing 6 units
1_9 attacks 0_1 with 25110, killing 3 units
0_2 attacks 1_6 with 37520, killing 0 units
1_7 attacks 0_6 with 43894, killing 6 units
0_0 attacks 1_1 with 64251, killing 1 units
1_0 attacks 0_3 with 175508, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1680_6 attacks 1_5 with 72080, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181896, killing 20 units
0_4 attacks 1_3 with 128492, killing 2 units
0_8 attacks 1_9 with 25584, killing 1 units
0_1 attacks 1_7 with 103360, killing 3 units
1_5 attacks 0_9 with 158280, killing 22 units
0_3 attacks 1_0 with 62720, killing 1 units
0_9 attacks 1_8 with 9344, killing 0 units
1_3 attacks 0_0 with 62769, killing 6 units
1_9 attacks 0_1 with 25095, killing 3 units
0_2 attacks 1_6 with 37360, killing 0 units
1_7 attacks 0_6 with 43792, killing 6 units
0_0 attacks 1_1 with 64053, killing 1 units
1_0 attacks 0_3 with 175450, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1690_6 attacks 1_5 with 71840, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181852, killing 20 units
0_4 attacks 1_3 with 128076, killing 2 units
0_8 attacks 1_9 with 25256, killing 1 units
0_1 attacks 1_7 with 103312, killing 3 units
1_5 attacks 0_9 with 158220, killing 22 units
0_3 attacks 1_0 with 62540, killing 1 units
0_9 attacks 1_8 with 8992, killing 0 units
1_3 attacks 0_0 with 62671, killing 6 units
1_9 attacks 0_1 with 25080, killing 3 units
0_2 attacks 1_6 with 37200, killing 0 units
1_7 attacks 0_6 with 43690, killing 6 units
0_0 attacks 1_1 with 63855, killing 1 units
1_0 attacks 0_3 with 175392, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1700_6 attacks 1_5 with 71600, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181808, killing 20 units
0_4 attacks 1_3 with 127660, killing 2 units
0_8 attacks 1_9 with 24928, killing 1 units
0_1 attacks 1_7 with 103264, killing 3 units
1_5 attacks 0_9 with 158160, killing 22 units
0_3 attacks 1_0 with 62360, killing 1 units
0_9 attacks 1_8 with 8640, killing 0 units
1_3 attacks 0_0 with 62573, killing 6 units
1_9 attacks 0_1 with 25065, killing 3 units
0_2 attacks 1_6 with 37040, killing 0 units
1_7 attacks 0_6 with 43588, killing 6 units
0_0 attacks 1_1 with 63657, killing 1 units
1_0 attacks 0_3 with 175334, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1710_6 attacks 1_5 with 71360, killing 1 units
1_8 attacks 0_8 with 20608, killing 1 units
1_1 attacks 0_2 with 181764, killing 20 units
0_4 attacks 1_3 with 127244, killing 2 units
0_8 attacks 1_9 with 24600, killing 1 units
0_1 attacks 1_7 with 103216, killing 3 units
1_5 attacks 0_9 with 158100, killing 22 units
0_3 attacks 1_0 with 62180, killing 1 units
0_9 attacks 1_8 with 8288, killing 0 units
1_3 attacks 0_0 with 62475, killing 6 units
1_9 attacks 0_1 with 25050, killing 3 units
0_2 attacks 1_6 with 36880, killing 0 units
1_7 attacks 0_6 with 43486, killing 6 units
0_0 attacks 1_1 with 63459, killing 1 units
1_0 attacks 0_3 with 175276, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
